date,close,series
1971-02-05,100.0,NASDAQCOM
1971-02-08,100.84,NASDAQCOM
1971-02-09,100.76,NASDAQCOM
1971-02-10,100.69,NASDAQCOM
1971-02-11,101.45,NASDAQCOM
1971-02-12,102.05,NASDAQCOM
1971-02-15,,NASDAQCOM
1971-02-16,102.19,NASDAQCOM
1971-02-17,101.74,NASDAQCOM
1971-02-18,101.42,NASDAQCOM
1971-02-19,100.7,NASDAQCOM
1971-02-22,99.68,NASDAQCOM
1971-02-23,99.72,NASDAQCOM
1971-02-24,100.64,NASDAQCOM
1971-02-25,101.23,NASDAQCOM
1971-02-26,101.34,NASDAQCOM
1971-03-01,101.78,NASDAQCOM
1971-03-02,101.84,NASDAQCOM
1971-03-03,102.07,NASDAQCOM
1971-03-04,102.78,NASDAQCOM
1971-03-05,103.51,NASDAQCOM
1971-03-08,104.23,NASDAQCOM
1971-03-09,104.41,NASDAQCOM
1971-03-10,104.14,NASDAQCOM
1971-03-11,104.26,NASDAQCOM
1971-03-12,104.5,NASDAQCOM
1971-03-15,105.13,NASDAQCOM
1971-03-16,105.56,NASDAQCOM
1971-03-17,105.5,NASDAQCOM
1971-03-18,105.88,NASDAQCOM
1971-03-19,105.77,NASDAQCOM
1971-03-22,105.37,NASDAQCOM
1971-03-23,105.11,NASDAQCOM
1971-03-24,104.7,NASDAQCOM
1971-03-25,104.6,NASDAQCOM
1971-03-26,105.07,NASDAQCOM
1971-03-29,105.2,NASDAQCOM
1971-03-30,105.44,NASDAQCOM
1971-03-31,105.97,NASDAQCOM
1971-04-01,106.34,NASDAQCOM
1971-04-02,106.86,NASDAQCOM
1971-04-05,107.17,NASDAQCOM
1971-04-06,107.56,NASDAQCOM
1971-04-07,108.06,NASDAQCOM
1971-04-08,108.38,NASDAQCOM
1971-04-09,,NASDAQCOM
1971-04-12,108.87,NASDAQCOM
1971-04-13,108.85,NASDAQCOM
1971-04-14,109.08,NASDAQCOM
1971-04-15,109.69,NASDAQCOM
1971-04-16,109.96,NASDAQCOM
1971-04-19,110.16,NASDAQCOM
1971-04-20,109.53,NASDAQCOM
1971-04-21,109.52,NASDAQCOM
1971-04-22,109.99,NASDAQCOM
1971-04-23,110.69,NASDAQCOM
1971-04-26,111.13,NASDAQCOM
1971-04-27,111.69,NASDAQCOM
1971-04-28,112.37,NASDAQCOM
1971-04-29,112.46,NASDAQCOM
1971-04-30,112.3,NASDAQCOM
1971-05-03,111.35,NASDAQCOM
1971-05-04,111.77,NASDAQCOM
1971-05-05,111.68,NASDAQCOM
1971-05-06,111.06,NASDAQCOM
1971-05-07,110.66,NASDAQCOM
1971-05-10,110.15,NASDAQCOM
1971-05-11,110.33,NASDAQCOM
1971-05-12,110.37,NASDAQCOM
1971-05-13,110.55,NASDAQCOM
1971-05-14,110.74,NASDAQCOM
1971-05-17,109.15,NASDAQCOM
1971-05-18,108.4,NASDAQCOM
1971-05-19,108.33,NASDAQCOM
1971-05-20,108.72,NASDAQCOM
1971-05-21,108.85,NASDAQCOM
1971-05-24,108.42,NASDAQCOM
1971-05-25,107.5,NASDAQCOM
1971-05-26,107.53,NASDAQCOM
1971-05-27,107.6,NASDAQCOM
1971-05-28,108.25,NASDAQCOM
1971-05-31,,NASDAQCOM
1971-06-01,108.87,NASDAQCOM
1971-06-02,109.56,NASDAQCOM
1971-06-03,110.22,NASDAQCOM
1971-06-04,110.66,NASDAQCOM
1971-06-07,110.76,NASDAQCOM
1971-06-08,110.02,NASDAQCOM
1971-06-09,109.79,NASDAQCOM
1971-06-10,110.06,NASDAQCOM
1971-06-11,110.2,NASDAQCOM
1971-06-14,109.57,NASDAQCOM
1971-06-15,109.36,NASDAQCOM
1971-06-16,109.44,NASDAQCOM
1971-06-17,109.44,NASDAQCOM
1971-06-18,108.16,NASDAQCOM
1971-06-21,106.5,NASDAQCOM
1971-06-22,105.49,NASDAQCOM
1971-06-23,105.99,NASDAQCOM
1971-06-24,106.37,NASDAQCOM
1971-06-25,106.56,NASDAQCOM
1971-06-28,106.45,NASDAQCOM
1971-06-29,107.22,NASDAQCOM
1971-06-30,107.8,NASDAQCOM
1971-07-01,108.47,NASDAQCOM
1971-07-02,108.77,NASDAQCOM
1971-07-05,,NASDAQCOM
1971-07-06,109.23,NASDAQCOM
1971-07-07,110.01,NASDAQCOM
1971-07-08,110.42,NASDAQCOM
1971-07-09,110.91,NASDAQCOM
1971-07-12,111.24,NASDAQCOM
1971-07-13,110.76,NASDAQCOM
1971-07-14,110.34,NASDAQCOM
1971-07-15,110.72,NASDAQCOM
1971-07-16,109.98,NASDAQCOM
1971-07-19,109.37,NASDAQCOM
1971-07-20,109.79,NASDAQCOM
1971-07-21,109.74,NASDAQCOM
1971-07-22,109.54,NASDAQCOM
1971-07-23,109.63,NASDAQCOM
1971-07-26,109.35,NASDAQCOM
1971-07-27,108.57,NASDAQCOM
1971-07-28,107.45,NASDAQCOM
1971-07-29,105.81,NASDAQCOM
1971-07-30,105.27,NASDAQCOM
1971-08-02,105.59,NASDAQCOM
1971-08-03,104.41,NASDAQCOM
1971-08-04,103.26,NASDAQCOM
1971-08-05,103.11,NASDAQCOM
1971-08-06,103.78,NASDAQCOM
1971-08-09,103.18,NASDAQCOM
1971-08-10,103.04,NASDAQCOM
1971-08-11,104.08,NASDAQCOM
1971-08-12,105.21,NASDAQCOM
1971-08-13,105.44,NASDAQCOM
1971-08-16,107.86,NASDAQCOM
1971-08-17,108.93,NASDAQCOM
1971-08-18,108.39,NASDAQCOM
1971-08-19,108.01,NASDAQCOM
1971-08-20,107.89,NASDAQCOM
1971-08-23,108.26,NASDAQCOM
1971-08-24,108.6,NASDAQCOM
1971-08-25,108.85,NASDAQCOM
1971-08-26,108.97,NASDAQCOM
1971-08-27,109.3,NASDAQCOM
1971-08-30,108.71,NASDAQCOM
1971-08-31,108.42,NASDAQCOM
1971-09-01,108.65,NASDAQCOM
1971-09-02,108.96,NASDAQCOM
1971-09-03,109.98,NASDAQCOM
1971-09-06,,NASDAQCOM
1971-09-07,110.53,NASDAQCOM
1971-09-08,110.58,NASDAQCOM
1971-09-09,110.55,NASDAQCOM
1971-09-10,110.42,NASDAQCOM
1971-09-13,110.22,NASDAQCOM
1971-09-14,109.77,NASDAQCOM
1971-09-15,109.79,NASDAQCOM
1971-09-16,109.78,NASDAQCOM
1971-09-17,110.1,NASDAQCOM
1971-09-20,109.99,NASDAQCOM
1971-09-21,109.82,NASDAQCOM
1971-09-22,108.99,NASDAQCOM
1971-09-23,108.8,NASDAQCOM
1971-09-24,108.88,NASDAQCOM
1971-09-27,108.18,NASDAQCOM
1971-09-28,108.38,NASDAQCOM
1971-09-29,108.6,NASDAQCOM
1971-09-30,109.03,NASDAQCOM
1971-10-01,109.58,NASDAQCOM
1971-10-04,109.96,NASDAQCOM
1971-10-05,109.99,NASDAQCOM
1971-10-06,110.68,NASDAQCOM
1971-10-07,110.98,NASDAQCOM
1971-10-08,110.74,NASDAQCOM
1971-10-11,110.71,NASDAQCOM
1971-10-12,110.91,NASDAQCOM
1971-10-13,110.69,NASDAQCOM
1971-10-14,109.87,NASDAQCOM
1971-10-15,109.6,NASDAQCOM
1971-10-18,109.06,NASDAQCOM
1971-10-19,107.99,NASDAQCOM
1971-10-20,106.58,NASDAQCOM
1971-10-21,106.61,NASDAQCOM
1971-10-22,106.8,NASDAQCOM
1971-10-25,106.29,NASDAQCOM
1971-10-26,105.69,NASDAQCOM
1971-10-27,104.28,NASDAQCOM
1971-10-28,104.5,NASDAQCOM
1971-10-29,105.1,NASDAQCOM
1971-11-01,103.69,NASDAQCOM
1971-11-02,103.54,NASDAQCOM
1971-11-03,105.01,NASDAQCOM
1971-11-04,105.56,NASDAQCOM
1971-11-05,105.46,NASDAQCOM
1971-11-08,105.43,NASDAQCOM
1971-11-09,105.72,NASDAQCOM
1971-11-10,104.86,NASDAQCOM
1971-11-11,103.74,NASDAQCOM
1971-11-12,103.91,NASDAQCOM
1971-11-15,103.44,NASDAQCOM
1971-11-16,103.71,NASDAQCOM
1971-11-17,103.64,NASDAQCOM
1971-11-18,103.44,NASDAQCOM
1971-11-19,102.95,NASDAQCOM
1971-11-22,101.79,NASDAQCOM
1971-11-23,100.31,NASDAQCOM
1971-11-24,100.4,NASDAQCOM
1971-11-25,,NASDAQCOM
1971-11-26,101.64,NASDAQCOM
1971-11-29,103.08,NASDAQCOM
1971-11-30,103.97,NASDAQCOM
1971-12-01,105.06,NASDAQCOM
1971-12-02,106.15,NASDAQCOM
1971-12-03,107.26,NASDAQCOM
1971-12-06,106.92,NASDAQCOM
1971-12-07,107.26,NASDAQCOM
1971-12-08,107.71,NASDAQCOM
1971-12-09,107.97,NASDAQCOM
1971-12-10,108.81,NASDAQCOM
1971-12-13,109.16,NASDAQCOM
1971-12-14,109.07,NASDAQCOM
1971-12-15,109.45,NASDAQCOM
1971-12-16,110.01,NASDAQCOM
1971-12-17,110.52,NASDAQCOM
1971-12-20,111.5,NASDAQCOM
1971-12-21,111.73,NASDAQCOM
1971-12-22,111.97,NASDAQCOM
1971-12-23,111.94,NASDAQCOM
1971-12-24,,NASDAQCOM
1971-12-27,111.7,NASDAQCOM
1971-12-28,111.93,NASDAQCOM
1971-12-29,112.57,NASDAQCOM
