date,close,series
2016-04-22,18003.75,DJIA
2016-04-25,17977.24,DJIA
2016-04-26,17990.32,DJIA
2016-04-27,18041.55,DJIA
2016-04-28,17830.76,DJIA
2016-04-29,17773.64,DJIA
2016-05-02,17891.16,DJIA
2016-05-03,17750.91,DJIA
2016-05-04,17651.26,DJIA
2016-05-05,17660.71,DJIA
2016-05-06,17740.63,DJIA
2016-05-09,17705.91,DJIA
2016-05-10,17928.35,DJIA
2016-05-11,17711.12,DJIA
2016-05-12,17720.5,DJIA
2016-05-13,17535.32,DJIA
2016-05-16,17710.71,DJIA
2016-05-17,17529.98,DJIA
2016-05-18,17526.62,DJIA
2016-05-19,17435.4,DJIA
2016-05-20,17500.94,DJIA
2016-05-23,17492.93,DJIA
2016-05-24,17706.05,DJIA
2016-05-25,17851.51,DJIA
2016-05-26,17828.29,DJIA
2016-05-27,17873.22,DJIA
2016-05-30,,DJIA
2016-05-31,17787.2,DJIA
2016-06-01,17789.67,DJIA
2016-06-02,17838.56,DJIA
2016-06-03,17807.06,DJIA
2016-06-06,17920.33,DJIA
2016-06-07,17938.28,DJIA
2016-06-08,18005.05,DJIA
2016-06-09,17985.19,DJIA
2016-06-10,17865.34,DJIA
2016-06-13,17732.48,DJIA
2016-06-14,17674.82,DJIA
2016-06-15,17640.17,DJIA
2016-06-16,17733.1,DJIA
2016-06-17,17675.16,DJIA
2016-06-20,17804.87,DJIA
2016-06-21,17829.73,DJIA
2016-06-22,17780.83,DJIA
2016-06-23,18011.07,DJIA
2016-06-24,17400.75,DJIA
2016-06-27,17140.24,DJIA
2016-06-28,17409.72,DJIA
2016-06-29,17694.68,DJIA
2016-06-30,17929.99,DJIA
2016-07-01,17949.37,DJIA
2016-07-04,,DJIA
2016-07-05,17840.62,DJIA
2016-07-06,17918.62,DJIA
2016-07-07,17895.88,DJIA
2016-07-08,18146.74,DJIA
2016-07-11,18226.93,DJIA
2016-07-12,18347.67,DJIA
2016-07-13,18372.12,DJIA
2016-07-14,18506.41,DJIA
2016-07-15,18516.55,DJIA
2016-07-18,18533.05,DJIA
2016-07-19,18559.01,DJIA
2016-07-20,18595.03,DJIA
2016-07-21,18517.23,DJIA
2016-07-22,18570.85,DJIA
2016-07-25,18493.06,DJIA
2016-07-26,18473.75,DJIA
2016-07-27,18472.17,DJIA
2016-07-28,18456.35,DJIA
2016-07-29,18432.24,DJIA
2016-08-01,18404.51,DJIA
2016-08-02,18313.77,DJIA
2016-08-03,18355.0,DJIA
2016-08-04,18352.05,DJIA
2016-08-05,18543.53,DJIA
2016-08-08,18529.29,DJIA
2016-08-09,18533.05,DJIA
2016-08-10,18495.66,DJIA
2016-08-11,18613.52,DJIA
2016-08-12,18576.47,DJIA
2016-08-15,18636.05,DJIA
2016-08-16,18552.02,DJIA
2016-08-17,18573.94,DJIA
2016-08-18,18597.7,DJIA
2016-08-19,18552.57,DJIA
2016-08-22,18529.42,DJIA
2016-08-23,18547.3,DJIA
2016-08-24,18481.48,DJIA
2016-08-25,18448.41,DJIA
2016-08-26,18395.4,DJIA
2016-08-29,18502.99,DJIA
2016-08-30,18454.3,DJIA
2016-08-31,18400.88,DJIA
2016-09-01,18419.3,DJIA
2016-09-02,18491.96,DJIA
2016-09-05,,DJIA
2016-09-06,18538.12,DJIA
2016-09-07,18526.14,DJIA
2016-09-08,18479.91,DJIA
2016-09-09,18085.45,DJIA
2016-09-12,18325.07,DJIA
2016-09-13,18066.75,DJIA
2016-09-14,18034.77,DJIA
2016-09-15,18212.48,DJIA
2016-09-16,18123.8,DJIA
2016-09-19,18120.17,DJIA
2016-09-20,18129.96,DJIA
2016-09-21,18293.7,DJIA
2016-09-22,18392.46,DJIA
2016-09-23,18261.45,DJIA
2016-09-26,18094.83,DJIA
2016-09-27,18228.3,DJIA
2016-09-28,18339.24,DJIA
2016-09-29,18143.45,DJIA
2016-09-30,18308.15,DJIA
2016-10-03,18253.85,DJIA
2016-10-04,18168.45,DJIA
2016-10-05,18281.03,DJIA
2016-10-06,18268.5,DJIA
2016-10-07,18240.49,DJIA
2016-10-10,18329.04,DJIA
2016-10-11,18128.66,DJIA
2016-10-12,18144.2,DJIA
2016-10-13,18098.94,DJIA
2016-10-14,18138.38,DJIA
2016-10-17,18086.4,DJIA
2016-10-18,18161.94,DJIA
2016-10-19,18202.62,DJIA
2016-10-20,18162.35,DJIA
2016-10-21,18145.71,DJIA
2016-10-24,18223.03,DJIA
2016-10-25,18169.27,DJIA
2016-10-26,18199.33,DJIA
2016-10-27,18169.68,DJIA
2016-10-28,18161.19,DJIA
2016-10-31,18142.42,DJIA
2016-11-01,18037.1,DJIA
2016-11-02,17959.64,DJIA
2016-11-03,17930.67,DJIA
2016-11-04,17888.28,DJIA
2016-11-07,18259.6,DJIA
2016-11-08,18332.74,DJIA
2016-11-09,18589.69,DJIA
2016-11-10,18807.88,DJIA
2016-11-11,18847.66,DJIA
2016-11-14,18868.69,DJIA
2016-11-15,18923.06,DJIA
2016-11-16,18868.14,DJIA
2016-11-17,18903.82,DJIA
2016-11-18,18867.93,DJIA
2016-11-21,18956.69,DJIA
2016-11-22,19023.87,DJIA
2016-11-23,19083.18,DJIA
2016-11-24,,DJIA
2016-11-25,19152.14,DJIA
2016-11-28,19097.9,DJIA
2016-11-29,19121.6,DJIA
2016-11-30,19123.58,DJIA
